100000,BÌ_i Thanh Nga,FALSE,35,BÌÁc s€©,https://dantri.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100001,H‡ÈÒ H‡_£i BÌÂnh,TRUE,23,Sinh viÌ»n,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100002,LÌ» ÌÅnh Linh,FALSE,19,Sinh viÌ»n,http://kenh14.vn/,Tue Nov 13 08:55:48 ICT 2018
100003,€ê‡ÈÑ Th‡_£o Linh,FALSE,54,BÌÁc s€©,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100004,BÌ_i TrÌ_c LiÌ»n,FALSE,31,Thanh tra,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100005,HoÌÊng Tuy‡_Àt HÌ¢n,FALSE,34,BÌÁc s€©,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100006,H‡ÈÒ HoÌÊi Nam,TRUE,44,K‡È_ s®¡,https://dantri.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100007,VÅ© Vi‡Èàt Phong,TRUE,59,CÌ«ng nhÌ¢n,tuoitre.vn,Tue Nov 13 08:55:48 ICT 2018
100008,LÌ» VÅ© Anh,TRUE,53,K‡È_ s®¡,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100009,Phan ThÌÁi HÌÊ,FALSE,20,Sinh viÌ»n,https://vtc.vn/,Tue Nov 13 08:55:48 ICT 2018
100010,€ê‡ÈÑ Minh ThÌÁi,TRUE,32,B‡_£o v‡Èà,https://vtc.vn/,Tue Nov 13 08:55:48 ICT 2018
100011,LÌ_ M‡È_ L‡È£i,FALSE,68,CÌ«ng nhÌ¢n,https://vtc.vn/,Tue Nov 13 08:55:48 ICT 2018
100012,€ê‡ÈÑ H‡_£i Anh,FALSE,51,BÌÁc s€©,https://dantri.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100013,BÌ_i BÌÁ L‡Èªc,TRUE,18,GiÌÁm €Ô‡ÈÔc,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100014,LÌ» Qu‡ÈÔc Th‡_øng,TRUE,50,GiÌÁm €Ô‡ÈÔc,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100015,Phan Th®¡®Áng Nga,FALSE,43,CÌ«ng nhÌ¢n,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100016,D®¡®Áng Hi‡ÈÅn HÌ_a,FALSE,69,NhÌ¢n viÌ»n,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100017,Phan S‡È_ PhÌ_,TRUE,30,NhÌ¢n viÌ»n,http://kenh14.vn/,Tue Nov 13 08:55:48 ICT 2018
100018,D®¡®Áng Th‡_À Minh,TRUE,60,Sinh viÌ»n,http://vietnamnet.vn/,Tue Nov 13 08:55:48 ICT 2018
100019,D®¡®Áng Phong ChÌ¢u,TRUE,43,B‡_£o v‡Èà,tuoitre.vn,Tue Nov 13 08:55:48 ICT 2018
100020,D®¡®Áng Ìê‡_Ái Th‡ÈÔng,TRUE,69,CÌ«ng nhÌ¢n,http://kenh14.vn/,Tue Nov 13 08:55:48 ICT 2018
100021,H‡ÈÒ Th‡È´y MiÌ»n,FALSE,18,GiÌÁm €Ô‡ÈÔc,http://kenh14.vn/,Tue Nov 13 08:55:48 ICT 2018
100022,H‡ÈÒ BÌ_ch H‡_Ánh,FALSE,32,K‡È_ s®¡,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100023,H‡ÈÒ Th‡È´c Trang,FALSE,38,BÌÁc s€©,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100024,LÌ» Th‡_£o QuyÌ»n,FALSE,23,Lu‡__t s®¡,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100025,LÌ_ Ti‡ÈÄu My,FALSE,37,B‡_£o v‡Èà,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100026,Phan Di‡ÈÉm UyÌ»n,FALSE,55,Lu‡__t s®¡,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100027,Nguy‡ÈÉn Gia KhiÌ»m,TRUE,30,Y tÌÁ,vnexpress.net,Tue Nov 13 08:55:48 ICT 2018
100028,LÌ_ Huy HÌÊ,TRUE,29,Lu‡__t s®¡,https://dantri.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100029,D®¡®Áng C‡_©m H®¡‡Èùng,FALSE,24,Sinh viÌ»n,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100030,Tr‡__n XuÌ¢n Ph®¡‡È£ng,FALSE,69,NhÌ¢n viÌ»n,tuoitre.vn,Tue Nov 13 08:55:48 ICT 2018
100031,Nguy‡ÈÉn Thu Ng‡Èçc,FALSE,20,BÌÁc s€©,https://www.vietnamplus.vn/,Tue Nov 13 08:55:48 ICT 2018
100032,H‡ÈÒ Ban Mai,FALSE,40,BÌÁc s€©,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100033,€ê‡_áng Tu‡_´n ThÌÊnh,TRUE,42,Y tÌÁ,https://www.24h.com.vn/,Tue Nov 13 08:55:48 ICT 2018
100034,VÅ© S‡È_ Ìêan,TRUE,38,B‡_£o v‡Èà,http://vietnamnet.vn/,Tue Nov 13 08:55:48 ICT 2018
100035,VÅ© Di‡Èàu Loan,FALSE,20,K‡È_ s®¡,tuoitre.vn,Tue Nov 13 08:55:48 ICT 2018
100036,€ê‡_áng Giang Lam,TRUE,43,GiÌÁm €Ô‡ÈÔc,https://vtc.vn/,Tue Nov 13 08:55:48 ICT 2018
100037,H‡ÈÒ Minh H‡_±ng,FALSE,64,BÌÁc s€©,https://dantri.com.vn/,Tue Nov 13 08:55:48 ICT 2018
